Simulation Time, PET[mm/day]
05/13/2007: 12:00 AM,2.38221530802613
05/14/2007: 12:00 AM,1.69888724343296
05/15/2007: 12:00 AM,2.34637120592201
05/16/2007: 12:00 AM,1.78178153809353
05/17/2007: 12:00 AM,2.04571398629347
05/18/2007: 12:00 AM,1.8297833124873
05/19/2007: 12:00 AM,2.18225316258108
05/20/2007: 12:00 AM,2.44550109798852
05/21/2007: 12:00 AM,2.61743812044499
05/22/2007: 12:00 AM,2.51344814659478
05/23/2007: 12:00 AM,2.40601909343509
05/24/2007: 12:00 AM,2.12284697546786
05/25/2007: 12:00 AM,2.45675877499985
05/26/2007: 12:00 AM,2.53835979037269
05/27/2007: 12:00 AM,2.52262643004771
05/28/2007: 12:00 AM,2.40893726463816
05/29/2007: 12:00 AM,2.55014680451408
05/30/2007: 12:00 AM,2.6270004207809
05/31/2007: 12:00 AM,2.74693725600577
06/01/2007: 12:00 AM,2.42318369654732
06/02/2007: 12:00 AM,1.73470819191534
06/03/2007: 12:00 AM,2.09785398193175
06/04/2007: 12:00 AM,2.31913574861469
06/05/2007: 12:00 AM,2.40791349471335
06/06/2007: 12:00 AM,2.57452155561326
06/07/2007: 12:00 AM,2.65519899506036
06/08/2007: 12:00 AM,2.47024494442684
06/09/2007: 12:00 AM,2.81765391385275
06/10/2007: 12:00 AM,2.8053792540943
06/11/2007: 12:00 AM,2.0130980621054
06/12/2007: 12:00 AM,2.33361171116253
06/13/2007: 12:00 AM,2.38361352836773
06/14/2007: 12:00 AM,2.22099797473735
06/15/2007: 12:00 AM,1.85047873486858
06/16/2007: 12:00 AM,2.52393092397834
06/17/2007: 12:00 AM,2.81377026910154
06/18/2007: 12:00 AM,2.5093892641028
06/19/2007: 12:00 AM,2.38191796639607
06/20/2007: 12:00 AM,2.21442395059306
06/21/2007: 12:00 AM,2.814141220682
06/22/2007: 12:00 AM,2.64834240186341
06/23/2007: 12:00 AM,2.79215613915221
06/24/2007: 12:00 AM,2.57080464678717
06/25/2007: 12:00 AM,2.5378698637742
06/26/2007: 12:00 AM,2.37964982354721
06/27/2007: 12:00 AM,2.51246622289245
06/28/2007: 12:00 AM,2.46479443483763
06/29/2007: 12:00 AM,2.47619590101098
06/30/2007: 12:00 AM,2.26626077662515
07/01/2007: 12:00 AM,2.3344748564366
07/02/2007: 12:00 AM,1.2973059287386
07/03/2007: 12:00 AM,1.75676678004338
07/04/2007: 12:00 AM,2.26286621566881
07/05/2007: 12:00 AM,2.53341549056989
07/06/2007: 12:00 AM,2.3275370994712
07/07/2007: 12:00 AM,2.11850629376618
